,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
3163,2.0,2021-07-01 02:38:16,2021-07-01 02:43:44,1.0,1.32,1.0,N,48,246,1.0,6.5,0.5,0.5,2.58,0.0,0.3,12.88,2.5
3164,2.0,2021-07-01 02:13:08,2021-07-01 02:21:06,2.0,2.58,1.0,N,231,246,1.0,10.0,0.5,0.5,2.76,0.0,0.3,16.56,2.5
3165,2.0,2021-07-01 02:14:56,2021-07-01 02:27:28,1.0,6.51,1.0,N,141,87,1.0,19.5,0.5,0.5,5.82,0.0,0.3,29.12,2.5
3166,2.0,2021-07-01 02:32:51,2021-07-01 02:40:29,1.0,1.54,1.0,N,125,79,1.0,7.5,0.5,0.5,1.7,0.0,0.3,13.0,2.5
3167,2.0,2021-07-01 02:44:26,2021-07-01 02:53:14,1.0,1.99,1.0,N,107,158,1.0,8.5,0.5,0.5,2.46,0.0,0.3,14.76,2.5
3168,2.0,2021-07-01 02:50:02,2021-07-01 03:03:44,1.0,7.65,1.0,N,132,76,1.0,22.0,0.5,0.5,4.66,0.0,0.3,29.21,0.0
3169,2.0,2021-07-01 02:01:59,2021-07-01 02:26:53,1.0,11.07,1.0,N,138,143,1.0,34.0,0.5,0.5,11.4,6.55,0.3,57.0,2.5
3170,2.0,2021-07-01 02:50:30,2021-07-01 02:57:04,2.0,2.18,1.0,N,113,87,1.0,8.0,0.5,0.5,1.0,0.0,0.3,12.8,2.5
3171,2.0,2021-07-01 02:01:07,2021-07-01 02:11:55,6.0,3.25,1.0,N,90,237,1.0,12.0,0.5,0.5,3.16,0.0,0.3,18.96,2.5
3172,2.0,2021-07-01 02:20:12,2021-07-01 02:39:00,6.0,5.24,1.0,N,100,65,1.0,17.0,0.5,0.5,4.16,0.0,0.3,24.96,2.5
3173,1.0,2021-07-01 02:08:00,2021-07-01 02:28:00,4.0,9.0,1.0,N,138,48,1.0,27.5,3.0,0.5,9.35,0.0,0.3,40.65,2.5
3174,1.0,2021-07-01 02:03:54,2021-07-01 02:29:23,1.0,7.6,1.0,N,151,260,2.0,25.0,3.0,0.5,0.0,0.0,0.3,28.8,2.5
3175,1.0,2021-07-01 02:03:22,2021-07-01 02:17:45,1.0,5.0,1.0,N,164,226,1.0,16.5,2.5,0.5,3.95,0.0,0.3,23.75,2.5
3176,1.0,2021-07-01 02:47:56,2021-07-01 02:56:56,1.0,1.7,1.0,N,79,231,1.0,8.5,2.5,0.5,2.35,0.0,0.3,14.15,2.5
3177,1.0,2021-07-01 02:39:11,2021-07-01 03:02:04,1.0,8.7,1.0,N,107,152,1.0,27.0,3.0,0.5,6.15,0.0,0.3,36.95,2.5
3178,2.0,2021-07-01 02:03:31,2021-07-01 02:14:35,6.0,2.33,1.0,N,262,142,2.0,10.0,0.5,0.5,0.0,0.0,0.3,13.8,2.5
3179,2.0,2021-07-01 02:40:26,2021-07-01 02:56:13,6.0,3.88,1.0,N,249,65,1.0,14.5,0.5,0.5,1.7,0.0,0.3,20.0,2.5
3180,2.0,2021-07-01 02:44:48,2021-07-01 02:59:11,2.0,8.19,1.0,N,132,222,1.0,24.0,0.5,0.5,0.0,0.0,0.3,26.55,0.0
3181,2.0,2021-07-01 02:18:28,2021-07-01 02:21:36,1.0,0.89,1.0,N,48,68,1.0,5.0,0.5,0.5,2.0,0.0,0.3,10.8,2.5
3182,2.0,2021-07-01 02:51:16,2021-07-01 02:59:20,1.0,3.12,1.0,N,141,74,4.0,-10.0,-0.5,-0.5,0.0,0.0,-0.3,-13.8,-2.5
3183,2.0,2021-07-01 02:51:16,2021-07-01 02:59:20,1.0,3.12,1.0,N,141,74,2.0,10.0,0.5,0.5,0.0,0.0,0.3,13.8,2.5
3184,1.0,2021-07-01 02:03:30,2021-07-01 02:08:11,1.0,0.8,1.0,N,148,45,2.0,5.5,3.0,0.5,0.0,0.0,0.3,9.3,2.5
3185,1.0,2021-07-01 02:12:11,2021-07-01 02:19:20,4.0,2.1,1.0,N,148,90,1.0,8.5,3.0,0.5,0.0,0.0,0.3,12.3,2.5
3186,1.0,2021-07-01 02:49:55,2021-07-01 03:00:36,2.0,2.9,1.0,N,68,229,1.0,11.0,3.0,0.5,1.0,0.0,0.3,15.8,2.5
3187,2.0,2021-07-01 02:03:44,2021-07-01 02:11:56,1.0,1.49,1.0,N,230,229,2.0,7.5,0.5,0.5,0.0,0.0,0.3,11.3,2.5
3188,2.0,2021-07-01 02:22:03,2021-07-01 02:30:37,1.0,1.67,1.0,N,107,148,1.0,8.5,0.5,0.5,2.46,0.0,0.3,14.76,2.5
3189,2.0,2021-07-01 02:39:57,2021-07-01 03:09:25,1.0,7.6,1.0,N,114,224,1.0,27.5,0.5,0.5,6.26,0.0,0.3,37.56,2.5
3190,1.0,2021-07-01 02:02:36,2021-07-01 02:19:21,0.0,4.5,1.0,N,249,140,1.0,16.5,3.0,0.5,5.05,0.0,0.3,25.35,2.5
3191,1.0,2021-07-01 02:23:06,2021-07-01 02:28:08,1.0,1.1,1.0,N,140,229,1.0,6.0,3.0,0.5,1.2,0.0,0.3,11.0,2.5
3192,1.0,2021-07-01 02:56:01,2021-07-01 03:04:03,0.0,2.5,1.0,N,229,79,2.0,9.5,3.0,0.5,0.0,0.0,0.3,13.3,2.5
3193,1.0,2021-07-01 02:03:30,2021-07-01 02:15:02,3.0,3.7,1.0,N,114,142,1.0,13.0,3.0,0.5,1.0,0.0,0.3,17.8,2.5
3194,1.0,2021-07-01 02:32:13,2021-07-01 02:32:56,1.0,0.1,1.0,N,237,237,1.0,2.5,3.0,0.5,1.85,0.0,0.3,8.15,2.5
3195,1.0,2021-07-01 02:50:13,2021-07-01 02:53:40,1.0,0.5,1.0,N,186,100,4.0,4.5,3.0,0.5,0.0,0.0,0.3,8.3,2.5
3196,2.0,2021-07-01 02:44:16,2021-07-01 02:55:33,4.0,2.52,1.0,N,229,68,1.0,10.5,0.5,0.5,0.0,0.0,0.3,14.3,2.5
3197,1.0,2021-07-01 02:42:26,2021-07-01 02:48:50,1.0,1.7,1.0,N,114,246,1.0,7.5,3.0,0.5,2.8,0.0,0.3,14.1,2.5
3198,1.0,2021-07-01 02:51:25,2021-07-01 02:59:04,1.0,1.8,1.0,N,68,137,1.0,7.5,3.0,0.5,2.25,0.0,0.3,13.55,2.5
3199,1.0,2021-07-01 02:12:24,2021-07-01 02:18:54,1.0,1.2,1.0,N,107,4,2.0,6.5,3.0,0.5,0.0,0.0,0.3,10.3,2.5
3200,1.0,2021-07-01 02:31:48,2021-07-01 02:43:41,1.0,3.0,1.0,N,107,48,1.0,11.5,3.0,0.5,0.09,0.0,0.3,15.39,2.5
3201,2.0,2021-07-01 02:40:07,2021-07-01 02:43:28,1.0,1.45,1.0,N,137,79,1.0,6.0,0.5,0.5,1.47,0.0,0.3,11.27,2.5
3202,2.0,2021-07-01 02:44:49,2021-07-01 02:50:50,1.0,1.86,1.0,N,79,170,1.0,7.5,0.5,0.5,0.0,0.0,0.3,11.3,2.5
3203,2.0,2021-07-01 02:00:07,2021-07-01 02:06:00,1.0,1.34,1.0,N,90,48,1.0,6.5,0.5,0.5,2.06,0.0,0.3,12.36,2.5
3204,2.0,2021-07-01 02:13:01,2021-07-01 02:25:01,1.0,3.79,1.0,N,186,263,2.0,13.0,0.5,0.5,0.0,0.0,0.3,16.8,2.5
3205,2.0,2021-07-01 02:04:00,2021-07-01 02:25:44,2.0,3.48,1.0,N,168,212,2.0,18.0,0.5,0.5,0.0,0.0,0.3,19.3,0.0
3206,2.0,2021-07-01 02:03:31,2021-07-01 02:10:19,6.0,1.48,1.0,N,79,231,1.0,7.5,0.5,0.5,2.26,0.0,0.3,13.56,2.5
3207,2.0,2021-07-01 02:21:36,2021-07-01 02:28:01,6.0,1.13,1.0,N,79,211,1.0,7.0,0.5,0.5,2.16,0.0,0.3,12.96,2.5
3208,2.0,2021-07-01 02:18:28,2021-07-01 02:28:57,6.0,2.54,1.0,N,229,90,1.0,10.5,0.5,0.5,3.58,0.0,0.3,17.88,2.5
3209,2.0,2021-07-01 02:35:10,2021-07-01 02:38:21,6.0,0.81,1.0,N,68,50,2.0,4.5,0.5,0.5,0.0,0.0,0.3,8.3,2.5
3210,2.0,2021-07-01 02:44:33,2021-07-01 03:00:27,6.0,8.15,1.0,N,48,243,1.0,24.5,0.5,0.5,5.66,0.0,0.3,33.96,2.5
3211,2.0,2021-07-01 02:05:17,2021-07-01 02:16:37,6.0,6.81,1.0,N,138,145,1.0,20.0,0.5,0.5,4.51,0.0,0.3,27.06,0.0
3212,2.0,2021-07-01 02:00:47,2021-07-01 02:04:27,1.0,0.9,1.0,N,79,114,1.0,5.0,0.5,0.5,1.76,0.0,0.3,10.56,2.5
3213,2.0,2021-07-01 02:09:07,2021-07-01 02:12:18,1.0,0.54,1.0,N,234,164,4.0,-4.5,-0.5,-0.5,0.0,0.0,-0.3,-8.3,-2.5
